EmployeeNumber,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,StockOptionLevel
1,5993,19479,1102,94,11,0
2,5130,24907,279,61,23,1
4,2090,2396,1373,92,15,0
5,2909,23159,1392,56,11,0
7,3468,16632,591,40,12,1
8,3068,11864,1005,79,13,0
10,2670,9964,1324,81,20,3
11,2693,13335,1358,67,22,1
12,9526,8787,216,44,21,0
13,5237,16577,1299,94,13,2
14,2426,16479,809,84,13,1
15,4193,12682,153,49,12,0
16,2911,15170,670,31,17,1
18,2661,8758,1346,93,11,1
19,2028,12947,103,50,14,0
20,9980,10195,1389,51,11,1
21,3298,15053,334,80,12,2
22,2935,7324,1123,96,13,2
23,15427,22021,1219,78,16,0
24,3944,4306,371,45,11,0
26,4011,8232,673,96,18,1
27,3407,6986,1218,82,23,0
28,11994,21293,419,53,11,0
30,1232,19281,391,96,14,0
31,2960,17102,699,83,11,0
32,19094,10735,1282,58,11,1
33,3919,4681,1125,72,22,0
35,6825,21173,691,48,11,1
36,10248,2094,477,42,14,1
38,18947,22822,705,83,12,0
39,2496,6670,924,78,11,0
40,6465,19121,1459,41,13,0
41,2206,16117,125,83,13,0
42,2086,3335,895,56,14,1
45,2293,3020,813,61,16,1
46,2645,21923,1273,72,12,2
47,2683,3810,869,86,14,0
49,2014,9687,890,97,13,0
51,3419,13072,852,82,14,1
52,5376,3193,1141,42,19,2
53,1951,10910,464,75,12,1
54,2341,19715,1240,33,13,1
55,2293,10558,1357,48,12,0
56,8726,2975,994,37,15,0
57,4011,10781,721,58,23,0
58,19545,16280,1360,49,12,0
60,4568,10034,1065,72,20,0
61,3022,10227,408,73,21,0
62,5772,20445,1211,98,21,0
63,2269,4892,1229,36,19,0
64,5381,19294,626,98,13,0
65,3441,11179,1434,50,13,0
68,5454,4009,1488,75,21,1
70,9884,8302,1097,79,13,1
72,4157,21436,1443,47,19,1
73,13458,15146,515,98,12,0
74,9069,11031,853,71,22,1
75,4014,16002,1142,30,15,1
76,5915,9528,655,48,22,1
77,5993,2689,1115,51,18,1
78,6162,10877,427,33,22,1
79,2406,5456,653,50,11,0
80,18740,16701,989,43,12,1
81,7637,2354,1435,99,11,0
83,10096,8202,1223,59,13,3
84,14756,19730,836,33,14,3
85,6499,22656,1195,95,13,0
86,9724,18787,1339,59,17,1
88,2194,5868,664,79,13,1
90,3388,21777,318,79,17,1
91,5473,24668,1225,57,11,0
94,2703,4956,1328,76,23,1
95,2501,18775,1082,87,17,0
96,6220,7346,548,66,17,2
97,3038,22002,132,55,12,0
98,4424,20682,746,61,23,0
100,4312,23016,776,32,14,0
101,13245,15067,193,52,14,0
102,13664,25258,397,30,13,0
103,5021,10425,945,80,22,1
104,5126,15998,852,55,12,2
105,2859,26278,1214,30,18,0
106,10239,18092,111,70,14,1
107,5329,15717,573,79,12,3
110,4325,17736,1153,94,15,0
112,7260,21698,1400,49,11,0
113,2322,9518,541,62,13,1
116,2075,18725,432,96,23,2
117,4152,15830,288,99,19,3
118,9619,13596,669,64,16,0
119,13503,14115,530,78,22,1
120,5441,8423,632,71,22,0
121,5209,19760,1334,63,12,3
124,10673,3142,638,40,13,1
125,5010,24301,1093,87,16,0
126,13549,24001,1217,60,12,1
128,4999,17519,1353,33,21,1
129,4221,8863,120,43,15,0
131,13872,24409,682,37,13,0
132,2042,25043,489,67,12,1
133,2073,23648,807,63,22,0
134,2956,15178,827,71,13,0
137,2926,19783,871,66,18,0
138,4809,12482,665,41,14,0
139,5163,15850,1040,100,14,1
140,18844,21922,1420,32,21,1
141,18172,9755,1115,73,19,0
142,5744,26959,240,46,11,0
143,2889,26897,1280,64,11,2
144,2871,23785,534,59,15,0
145,7484,25796,1456,30,20,0
147,6074,22887,658,66,24,0
148,17328,13871,142,30,12,0
150,2774,13257,1127,52,12,1
151,4505,15000,1031,45,15,1
152,7428,14506,1189,87,12,0
153,11631,5615,1354,45,12,0
154,9738,22952,1467,92,14,1
155,2835,2561,922,39,22,1
158,16959,19494,394,92,12,2
159,2613,22310,1312,96,25,3
160,6146,15480,750,95,13,1
161,4963,4510,441,72,18,3
162,19537,6462,684,51,13,0
163,6172,20739,249,76,18,0
164,2368,23300,841,46,19,0
165,10312,3465,147,94,12,1
167,1675,26820,528,50,19,0
169,2523,19299,594,100,14,1
170,6567,5549,470,96,14,0
171,4739,16090,957,72,12,0
174,9208,6645,809,77,11,0
175,4559,24788,542,71,11,1
176,8189,21196,802,96,13,1
177,2942,8916,1355,61,23,1
178,4941,2819,216,84,20,2
179,10650,25150,1150,53,15,0
182,5902,14590,1329,47,14,1
183,8639,24835,959,41,18,0
184,6347,13982,1240,48,19,0
190,4200,10224,1033,41,22,0
192,3452,9752,1316,83,13,0
193,4317,2302,364,32,20,0
194,2632,23910,438,75,14,0
195,4668,22812,689,35,17,3
197,3204,10415,201,84,14,1
198,2720,11162,1427,35,13,0
199,17181,12888,857,91,13,1
200,2238,6961,933,94,21,1
201,1483,16102,1181,79,14,0
202,5605,8504,1395,54,11,1
204,7295,11439,662,94,13,2
205,2306,16047,1436,34,20,1
206,2348,10901,194,60,18,1
207,8998,15589,967,43,14,0
208,4319,26283,1496,41,13,1
211,6132,13983,1169,34,17,0
214,3346,11873,1145,75,20,1
215,10855,8552,630,67,11,1
216,2231,11314,303,75,18,1
217,2323,11992,1256,80,24,2
218,2024,5970,691,57,18,1
221,2713,6672,440,42,11,1
223,9439,23402,334,83,16,1
224,2566,25326,1450,79,15,1
226,19926,17053,1452,53,15,0
227,2451,4609,465,56,12,1
228,9419,8053,1339,41,12,1
230,8686,12930,702,59,22,0
231,3038,12430,120,43,20,0
233,3058,13364,1157,51,16,1
235,2325,20989,602,100,21,0
238,2088,15062,1480,30,12,0
239,3072,11012,111,66,11,2
240,5006,6319,1268,30,11,1
241,4257,13939,713,67,18,1
242,2500,10515,134,90,14,0
243,1102,9241,303,47,22,0
244,10453,2137,526,92,25,3
245,2288,6319,1380,75,12,0
246,3929,6984,140,95,23,1
247,2311,5711,629,95,15,0
248,3140,21728,1356,70,22,0
249,3690,3425,328,86,15,1
250,4450,26250,1084,57,11,2
252,2756,4673,931,72,13,1
253,19033,6499,989,46,14,1
254,18722,13339,692,61,11,0
256,9547,14074,1069,45,17,0
258,13734,7192,313,98,18,0
259,19999,5678,699,65,14,1
260,2279,11781,894,99,16,0
261,5916,15497,556,50,13,0
262,2089,5228,1344,37,14,3
264,16792,20462,1195,65,23,1
267,3564,22977,290,65,12,1
269,4425,15986,138,37,11,0
270,5265,16439,926,36,16,1
271,6553,7259,1261,88,14,0
273,6261,4185,1084,54,18,1
274,4298,9679,472,60,19,1
275,6804,23793,1002,92,15,2
277,3815,5972,878,43,17,1
281,2741,16523,905,99,15,1
282,6673,11354,1180,70,19,0
283,7639,24525,121,35,22,3
284,2328,12392,1136,60,16,1
286,2153,7703,635,73,13,0
287,4876,14242,1151,63,14,1
288,9396,12368,644,97,16,1
291,10400,25812,1045,32,11,0
292,8474,20925,829,88,22,0
293,9981,12916,1242,90,14,0
296,12490,15736,1469,81,16,2
297,2657,8556,1005,88,11,0
298,13591,14674,896,75,18,0
299,6696,22967,334,52,15,0
300,2058,19757,992,85,14,0
302,8865,16840,1052,57,12,0
303,5940,17011,1147,52,14,1
304,5914,9945,1396,62,16,0
305,2622,13248,147,47,21,0
306,12185,10056,663,47,14,3
307,10609,9647,119,76,12,2
308,4345,4381,979,90,12,1
309,2177,8456,142,70,17,1
311,2793,2539,319,41,17,1
312,7918,6599,1413,42,14,1
314,8789,9096,944,92,14,0
315,2389,14961,896,86,13,0
316,3212,3300,1323,89,15,0
319,19232,4933,532,58,11,0
321,2267,25657,818,52,17,0
323,19517,24118,854,68,11,1
325,2436,22149,813,58,13,1
327,16064,7744,1034,80,22,1
328,2707,21509,465,39,20,0
329,19068,21030,771,79,18,0
330,3931,20990,1401,56,11,1
331,3730,9571,515,62,14,0
332,2232,15417,1431,96,14,3
333,4465,12069,976,100,18,0
334,3072,19877,1411,36,16,2
335,3319,24447,1300,62,17,2
336,19202,15970,252,70,11,1
337,13675,13523,1327,73,12,1
338,2911,14776,832,63,13,1
339,5957,23687,470,84,13,1
340,3920,18697,1017,83,14,1
341,6434,5118,1199,77,17,1
342,10048,22573,504,61,11,2
343,10938,6420,505,64,25,0
346,2340,22673,665,60,19,0
347,6545,23016,916,82,13,0
349,6931,10732,1247,45,14,1
350,4898,7505,685,62,12,2
351,2593,8007,269,56,11,1
352,19436,5949,1416,49,19,1
353,2723,23231,833,96,11,0
355,3479,11652,307,71,11,0
359,2794,26062,1311,100,20,0
361,5249,19682,1327,39,18,1
362,2176,19737,128,84,13,0
363,16872,14977,488,75,12,1
364,3485,14935,529,79,11,0
366,6644,3687,1210,78,19,2
367,5582,14408,1463,64,21,1
369,4000,18384,675,85,12,2
372,13496,7501,1385,79,14,0
373,3210,20251,1403,47,11,1
374,19045,18938,452,81,14,0
376,11849,10268,666,88,12,1
377,2070,2613,1158,94,23,1
378,6502,22825,228,98,14,1
379,3230,10531,996,100,17,0
380,13603,11677,728,80,18,2
381,11996,19100,1315,71,18,1
382,5605,19191,322,44,24,1
384,6397,26767,1479,84,20,1
385,19144,15815,797,96,14,2
386,17584,21016,1070,45,16,3
387,4907,24532,635,99,25,0
388,4554,20260,442,44,18,0
389,5415,15972,147,37,19,1
390,4741,22722,496,60,13,1
391,2115,15881,1372,42,12,0
392,3161,19920,920,43,22,1
393,5745,18899,688,82,14,1
394,2373,14180,1449,45,13,1
395,3310,4488,1117,66,21,0
396,18665,25594,636,35,11,0
397,4485,26285,506,30,12,0
399,2789,3909,444,84,11,1
401,5828,8450,950,48,12,0
403,2326,11411,889,53,12,3
404,13525,14864,555,77,14,1
405,1420,25233,230,54,13,0
406,8020,5100,1232,96,15,2
407,3688,7122,566,81,18,2
408,5482,16321,1302,84,18,1
410,16015,15896,334,88,19,0
411,1200,9724,812,69,12,0
412,5661,4824,1476,68,19,0
416,6929,12241,218,100,11,1
417,9613,10942,1132,48,17,3
419,5674,6927,1105,47,15,1
420,5484,16985,906,91,14,1
421,12061,26707,849,81,17,1
422,5660,17056,390,32,13,1
423,4821,10077,691,86,12,1
424,6410,17822,106,62,12,0
425,5210,20308,1249,97,18,1
426,2695,7747,192,32,18,1
428,11878,23364,553,74,11,2
429,17068,5355,117,99,14,0
430,2455,10675,185,33,19,0
431,13964,17810,1091,90,12,0
433,4941,17747,723,85,15,0
434,2478,20938,1220,85,12,0
436,5228,24624,588,65,11,0
437,4478,5242,1377,74,11,0
438,7547,7143,691,73,12,3
439,5055,10557,1018,74,16,0
440,3464,24737,1157,84,13,0
441,5775,11934,1275,64,13,2
442,8943,14034,798,48,24,1
444,19272,21141,672,54,15,1
445,5238,17778,1162,41,18,0
446,4682,4317,508,46,14,0
447,18300,16375,1482,42,11,1
448,5257,6227,559,82,11,1
449,6349,22107,210,73,13,1
450,4869,16885,928,31,12,0
451,9985,9262,1001,43,16,1
452,3697,9278,549,75,14,2
453,7457,13273,1124,57,22,3
454,2119,4759,318,77,11,0
455,3983,7621,738,30,17,0
456,6118,5431,570,30,13,3
458,6214,3415,1130,56,18,1
460,6347,23177,1192,61,16,2
461,11510,15682,343,92,14,1
462,7143,25713,1232,39,14,0
463,8268,11866,144,39,14,2
464,8095,18264,1296,62,13,0
465,2904,16092,1309,83,12,2
466,6032,10110,483,95,15,0
467,2976,25751,1309,99,19,0
468,15992,15901,810,44,14,0
469,4649,16928,746,61,14,1
470,2696,24017,544,52,11,1
471,2370,3956,1062,75,13,1
473,12504,23978,530,91,21,1
474,5974,17001,1319,51,13,2
475,4736,6069,641,85,12,1
476,5296,20156,933,57,17,1
477,6781,17078,1332,98,23,0
478,2174,9150,756,99,11,0
479,6653,15276,845,45,15,0
481,9699,7246,541,48,11,1
482,6755,2967,593,88,11,0
483,2213,22495,1171,46,13,1
484,2610,2851,895,39,24,0
485,2851,9150,350,34,13,0
486,3452,17663,921,98,20,1
487,5258,16044,1144,30,14,0
488,9355,9558,143,56,18,0
491,10496,2755,1046,100,15,0
492,6380,6110,575,68,12,2
493,2657,7551,408,42,16,0
494,2716,25422,156,90,15,0
495,2201,18168,1283,54,16,0
496,6540,19394,755,97,19,0
497,3816,17881,1469,82,11,1
498,5253,20750,304,92,16,0
499,10965,12066,1261,31,24,0
500,4936,14862,1178,87,11,1
501,2543,11868,329,96,13,1
502,5304,4652,1362,67,13,0
505,16659,23258,1311,97,13,0
507,4260,5915,1371,77,12,1
508,2476,17434,202,72,18,1
510,3102,6582,575,73,22,0
511,2244,24440,253,43,13,1
513,7596,3809,164,61,13,2
514,2285,3427,464,40,23,0
515,3034,26914,1107,95,12,1
516,5715,22553,759,46,12,2
517,2576,20490,201,95,16,1
518,4197,21123,1305,49,12,0
520,14336,4345,982,59,11,1
521,3448,13436,555,78,22,1
522,19406,8509,821,86,11,1
523,6538,12740,1381,72,15,1
524,4306,4156,480,31,12,1
525,2258,15238,313,61,20,1
526,4522,2227,1473,74,14,0
527,4487,12090,891,99,11,0
529,4449,23866,1063,72,15,2
530,2218,16193,329,98,12,1
531,19197,8213,1218,52,14,1
532,13212,18256,906,86,11,3
533,6577,19558,1082,83,11,0
534,8392,19566,645,49,16,1
536,4558,13535,1300,79,12,1
538,4031,9396,688,91,13,1
543,7969,19609,319,39,14,0
544,2654,9655,192,69,21,2
546,16555,10310,1490,30,13,0
547,4556,12932,532,92,11,1
548,6091,24793,317,43,20,0
549,19566,3854,422,41,11,0
550,4810,26314,1485,87,14,1
551,4523,4386,1368,88,11,3
554,3202,21972,1448,62,16,0
555,2351,12253,296,33,16,1
556,1702,12106,1490,42,23,1
558,18041,13022,1398,79,14,0
560,2886,3032,1349,90,22,2
562,2097,16734,1400,53,15,1
564,11935,21526,986,93,18,0
565,2546,18300,408,71,16,0
566,2564,18437,489,52,12,0
567,8412,2890,1398,69,11,0
568,14118,22102,210,56,12,1
569,17046,9314,1099,88,15,1
571,2564,7181,1116,49,14,0
573,10266,2845,1499,80,19,0
574,5070,7389,983,65,13,3
575,17861,2288,1009,51,13,0
577,4230,19225,144,46,15,0
578,3780,23428,548,42,11,0
579,2768,8416,1303,62,12,1
580,9071,11563,1125,94,19,1
581,10648,14394,1274,33,25,1
582,13610,24619,1277,56,12,0
584,3408,6705,587,38,13,3
585,2983,18398,413,57,14,0
586,7632,14295,1276,72,12,0
587,9824,22908,534,66,12,0
590,9950,11533,988,43,15,3
591,2093,9260,1474,97,17,1
592,9980,15318,635,32,14,0
593,3894,9129,1368,99,16,0
595,4051,19658,163,37,14,1
597,16835,9873,1117,83,23,0
599,6230,13430,267,56,14,0
600,4717,18659,619,85,11,0
601,13237,20364,302,75,15,0
602,3755,17872,443,48,11,1
604,6582,8346,828,77,13,0
605,7406,6950,319,56,21,1
606,4805,16177,561,61,19,1
608,2741,22808,426,58,11,1
611,4262,22645,232,34,12,2
612,16184,22578,922,95,19,1
613,11557,25291,688,44,21,1
614,1878,8059,1306,69,14,0
615,10932,11373,1094,58,15,1
616,6811,2112,509,62,17,0
618,4306,4267,775,45,12,2
620,4859,6698,195,80,16,0
621,5337,19921,258,74,12,0
622,2340,23213,471,66,18,0
623,7491,23848,799,59,17,0
624,10527,8984,1034,86,11,0
625,16595,5626,1276,91,16,1
626,8834,24666,142,69,13,1
630,5577,22087,956,78,12,2
631,4707,23914,1474,60,12,0
632,2400,5530,535,38,13,2
634,9824,22174,1495,76,19,1
635,6447,15701,446,65,12,1
638,19502,2125,1245,58,17,1
639,2725,21630,691,89,11,2
641,6272,7428,703,66,20,2
643,2127,9100,823,94,21,1
644,18200,7999,1246,99,11,1
645,2096,26376,622,40,11,0
647,2886,14168,1287,55,16,1
648,2033,14470,448,74,18,1
649,3622,22794,254,83,13,1
650,4233,11512,1365,46,17,0
652,3681,14004,538,54,14,0
653,5460,6219,525,66,22,2
655,2187,5013,798,66,12,2
656,9602,3010,558,75,11,1
657,2836,11757,959,83,13,0
659,4089,5718,622,81,13,2
661,16627,2671,782,50,14,1
