EmployeeNumber,Department,JobRole,JobLevel,BusinessTravel,OverTime
1,Sales,Sales Executive,2,Travel_Rarely,Yes
2,Research & Development,Research Scientist,2,Travel_Frequently,No
4,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
5,Research & Development,Research Scientist,1,Travel_Frequently,Yes
7,Research & Development,Laboratory Technician,1,Travel_Rarely,No
8,Research & Development,Laboratory Technician,1,Travel_Frequently,No
10,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
11,Research & Development,Laboratory Technician,1,Travel_Rarely,No
12,Research & Development,Manufacturing Director,3,Travel_Frequently,No
13,Research & Development,Healthcare Representative,2,Travel_Rarely,No
14,Research & Development,Laboratory Technician,1,Travel_Rarely,No
15,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes
16,Research & Development,Research Scientist,1,Travel_Rarely,No
18,Research & Development,Laboratory Technician,1,Travel_Rarely,No
19,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
20,Research & Development,Manufacturing Director,3,Travel_Rarely,No
21,Research & Development,Research Scientist,1,Travel_Rarely,Yes
22,Research & Development,Laboratory Technician,1,Non-Travel,Yes
23,Sales,Manager,4,Travel_Rarely,No
24,Research & Development,Research Scientist,1,Travel_Rarely,Yes
26,Research & Development,Manufacturing Director,2,Non-Travel,No
27,Sales,Sales Representative,1,Travel_Rarely,No
28,Research & Development,Research Director,3,Travel_Rarely,No
30,Research & Development,Research Scientist,1,Travel_Rarely,No
31,Research & Development,Research Scientist,1,Travel_Rarely,No
32,Research & Development,Manager,5,Travel_Rarely,No
33,Research & Development,Research Scientist,1,Travel_Frequently,Yes
35,Sales,Sales Executive,2,Travel_Rarely,No
36,Research & Development,Healthcare Representative,3,Travel_Rarely,No
38,Sales,Manager,5,Travel_Rarely,No
39,Research & Development,Laboratory Technician,1,Travel_Rarely,No
40,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes
41,Research & Development,Laboratory Technician,1,Travel_Rarely,No
42,Sales,Sales Representative,2,Travel_Rarely,No
45,Research & Development,Research Scientist,1,Travel_Rarely,Yes
46,Research & Development,Research Scientist,1,Travel_Rarely,No
47,Sales,Sales Representative,1,Travel_Rarely,Yes
49,Sales,Sales Representative,1,Travel_Rarely,No
51,Research & Development,Research Scientist,1,Travel_Rarely,Yes
52,Sales,Sales Executive,2,Travel_Frequently,No
53,Research & Development,Laboratory Technician,1,Travel_Rarely,No
54,Research & Development,Laboratory Technician,1,Travel_Rarely,No
55,Research & Development,Laboratory Technician,1,Travel_Rarely,No
56,Sales,Sales Executive,3,Travel_Frequently,No
57,Research & Development,Laboratory Technician,2,Travel_Frequently,No
58,Research & Development,Research Director,5,Travel_Rarely,No
60,Sales,Sales Executive,2,Non-Travel,No
61,Research & Development,Research Scientist,1,Travel_Rarely,No
62,Sales,Sales Executive,2,Travel_Frequently,Yes
63,Research & Development,Laboratory Technician,1,Travel_Rarely,No
64,Research & Development,Laboratory Technician,3,Travel_Rarely,Yes
65,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
68,Sales,Sales Executive,2,Travel_Rarely,Yes
70,Research & Development,Healthcare Representative,3,Non-Travel,Yes
72,Sales,Sales Executive,2,Travel_Rarely,Yes
73,Research & Development,Research Director,3,Travel_Frequently,Yes
74,Sales,Sales Executive,3,Travel_Frequently,No
75,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
76,Research & Development,Laboratory Technician,2,Travel_Rarely,No
77,Research & Development,Manufacturing Director,2,Travel_Rarely,No
78,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
79,Research & Development,Laboratory Technician,2,Travel_Frequently,No
80,Research & Development,Research Director,5,Travel_Rarely,Yes
81,Sales,Sales Executive,3,Travel_Rarely,No
83,Research & Development,Healthcare Representative,3,Travel_Rarely,No
84,Research & Development,Manager,4,Travel_Rarely,Yes
85,Research & Development,Manufacturing Director,2,Travel_Frequently,No
86,Research & Development,Research Scientist,3,Travel_Rarely,No
88,Research & Development,Research Scientist,1,Travel_Frequently,No
90,Research & Development,Research Scientist,1,Travel_Rarely,Yes
91,Sales,Sales Executive,2,Travel_Frequently,No
94,Research & Development,Research Scientist,1,Travel_Rarely,No
95,Research & Development,Research Scientist,1,Travel_Rarely,No
96,Research & Development,Research Scientist,2,Travel_Rarely,No
97,Research & Development,Laboratory Technician,1,Travel_Rarely,No
98,Research & Development,Manufacturing Director,2,Travel_Rarely,No
100,Sales,Sales Executive,2,Travel_Rarely,No
101,Research & Development,Research Director,3,Travel_Rarely,Yes
102,Research & Development,Research Director,3,Travel_Rarely,No
103,Human Resources,Human Resources,2,Travel_Rarely,Yes
104,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes
105,Research & Development,Research Scientist,1,Travel_Rarely,No
106,Sales,Sales Executive,3,Travel_Rarely,No
107,Research & Development,Research Scientist,2,Non-Travel,Yes
110,Research & Development,Manufacturing Director,2,Travel_Rarely,No
112,Research & Development,Manufacturing Director,3,Travel_Rarely,No
113,Sales,Sales Representative,1,Travel_Rarely,No
116,Research & Development,Laboratory Technician,1,Travel_Rarely,No
117,Research & Development,Healthcare Representative,2,Travel_Rarely,No
118,Sales,Sales Executive,3,Travel_Rarely,No
119,Research & Development,Healthcare Representative,4,Travel_Frequently,No
120,Sales,Sales Executive,2,Travel_Rarely,Yes
121,Sales,Sales Executive,2,Travel_Rarely,Yes
124,Research & Development,Healthcare Representative,3,Travel_Frequently,Yes
125,Sales,Sales Executive,2,Travel_Rarely,No
126,Research & Development,Research Director,3,Travel_Rarely,No
128,Sales,Sales Executive,2,Travel_Rarely,No
129,Sales,Sales Executive,2,Non-Travel,No
131,Sales,Sales Executive,4,Travel_Rarely,No
132,Research & Development,Laboratory Technician,2,Non-Travel,No
133,Human Resources,Human Resources,1,Travel_Rarely,Yes
134,Research & Development,Research Scientist,1,Travel_Rarely,No
137,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes
138,Research & Development,Research Scientist,2,Travel_Rarely,No
139,Research & Development,Healthcare Representative,2,Non-Travel,No
140,Human Resources,Manager,5,Non-Travel,No
141,Research & Development,Research Director,5,Travel_Frequently,Yes
142,Sales,Sales Executive,2,Travel_Rarely,Yes
143,Research & Development,Research Scientist,1,Travel_Rarely,No
144,Research & Development,Laboratory Technician,1,Travel_Rarely,No
145,Research & Development,Healthcare Representative,3,Travel_Frequently,No
147,Research & Development,Laboratory Technician,2,Travel_Frequently,Yes
148,Human Resources,Manager,4,Non-Travel,Yes
150,Research & Development,Laboratory Technician,1,Travel_Rarely,No
151,Research & Development,Research Scientist,2,Travel_Rarely,No
152,Sales,Sales Executive,3,Travel_Rarely,No
153,Research & Development,Manager,3,Travel_Rarely,No
154,Sales,Sales Executive,3,Travel_Frequently,No
155,Research & Development,Laboratory Technician,1,Travel_Rarely,No
158,Sales,Manager,4,Travel_Frequently,Yes
159,Research & Development,Research Scientist,1,Travel_Frequently,No
160,Sales,Sales Executive,2,Non-Travel,No
161,Research & Development,Research Scientist,1,Travel_Rarely,Yes
162,Research & Development,Research Director,5,Travel_Rarely,No
163,Sales,Sales Executive,2,Travel_Rarely,Yes
164,Research & Development,Research Scientist,1,Travel_Rarely,No
165,Research & Development,Healthcare Representative,3,Travel_Rarely,No
167,Sales,Sales Representative,1,Travel_Rarely,Yes
169,Research & Development,Laboratory Technician,1,Travel_Rarely,No
170,Research & Development,Manufacturing Director,2,Travel_Rarely,No
171,Research & Development,Research Scientist,1,Travel_Frequently,No
174,Sales,Sales Executive,3,Travel_Frequently,No
175,Sales,Sales Executive,2,Travel_Rarely,Yes
176,Sales,Sales Executive,3,Travel_Rarely,Yes
177,Human Resources,Human Resources,1,Travel_Rarely,No
