EmployeeNumber,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear
1,3,8,6,4,0,5,8,0
2,4,10,10,7,1,7,1,3
4,3,7,0,0,0,0,6,3
5,3,8,8,7,3,0,1,3
7,3,6,2,2,2,2,9,3
8,3,8,7,7,3,6,0,2
10,4,12,1,0,0,0,4,3
11,4,1,1,0,0,0,1,2
12,4,10,9,7,1,8,0,2
13,3,17,7,7,7,7,6,3
14,3,6,5,4,0,3,0,5
15,3,10,9,5,0,8,0,3
16,3,5,5,2,4,3,1,1
18,3,3,2,2,1,2,0,2
19,3,6,4,2,0,3,5,4
20,3,10,10,9,8,8,1,1
21,3,7,6,2,0,5,0,5
22,3,1,1,0,0,0,1,2
23,3,31,25,8,3,7,2,3
24,3,6,3,2,1,2,5,3
26,3,5,4,2,1,3,0,5
27,4,10,5,3,0,3,7,4
28,3,13,12,6,2,11,0,4
30,3,0,0,0,0,0,1,6
31,3,8,4,2,1,3,2,2
32,3,26,14,13,4,8,4,3
33,4,10,10,2,6,7,1,5
35,3,10,9,7,4,2,0,2
36,3,24,22,6,5,17,3,4
38,3,22,2,2,2,1,3,2
39,3,7,1,1,0,0,4,3
40,3,9,4,2,1,3,2,5
41,3,10,10,0,1,8,1,5
42,3,19,1,0,0,0,3,6
45,3,6,2,0,2,0,2,2
46,3,6,5,3,1,4,1,3
47,3,3,3,2,0,2,1,2
49,3,2,2,2,2,2,1,3
51,3,6,1,1,0,0,9,3
52,3,10,5,3,1,3,2,3
53,3,1,1,0,0,0,1,3
54,3,1,1,0,0,0,1,6
55,3,1,1,0,0,1,1,2
56,3,9,9,8,1,7,1,0
57,4,12,12,8,3,7,1,2
58,3,23,22,15,15,8,1,0
60,4,10,9,5,8,7,0,2
61,4,8,1,0,0,0,4,1
62,4,14,9,6,0,8,4,4
63,3,1,1,0,0,1,1,2
64,3,23,1,0,0,0,9,2
65,3,2,2,2,2,2,1,3
68,4,9,4,3,1,3,5,2
70,3,10,4,0,2,3,2,3
72,3,5,2,2,0,0,7,2
73,3,15,15,14,8,12,1,1
74,4,9,9,8,1,8,1,3
75,3,4,2,2,2,2,3,3
76,4,10,7,7,1,7,3,3
77,3,7,7,5,0,7,1,2
78,4,9,9,8,7,8,1,3
79,3,10,10,3,9,9,1,2
80,3,29,27,3,13,8,5,2
81,3,28,21,16,7,9,7,3
83,3,17,17,14,12,8,1,2
84,3,21,5,0,0,2,2,2
85,3,6,6,5,0,3,1,3
86,3,25,1,0,0,0,2,2
88,3,5,3,2,1,2,4,2
90,3,2,1,0,0,0,0,0
91,3,20,4,3,1,3,7,2
94,4,6,5,4,0,4,0,3
95,3,1,1,1,1,0,1,4
96,3,10,10,4,0,9,1,3
97,3,5,1,0,0,0,3,3
98,4,11,11,7,1,8,1,2
100,3,16,15,13,2,8,0,2
101,3,17,0,0,0,0,4,3
102,3,16,5,2,0,2,4,3
103,4,16,4,2,0,2,8,2
104,3,10,10,8,3,0,1,1
105,3,6,6,4,0,4,1,3
106,3,24,1,0,1,0,3,4
107,3,17,13,11,1,9,7,3
110,3,5,5,2,1,3,1,2
112,3,37,6,4,0,2,4,3
113,3,3,0,0,0,0,3,3
116,4,10,4,2,0,3,3,4
117,3,11,11,10,10,8,1,3
118,3,9,9,8,4,7,1,3
119,4,22,22,3,11,11,1,3
120,4,11,10,7,1,0,0,2
121,3,11,11,8,2,7,1,4
124,3,21,10,9,9,5,2,5
125,3,12,11,8,5,7,1,0
126,3,16,4,3,0,3,9,5
128,4,4,3,2,0,2,0,2
129,3,5,5,4,0,4,1,3
131,3,38,37,10,1,8,0,1
132,3,17,3,2,1,2,4,3
133,4,7,3,2,0,2,4,3
134,3,1,1,0,0,0,1,2
137,3,1,1,0,1,0,1,5
138,3,16,16,13,2,10,1,3
139,3,17,1,0,0,0,5,2
140,4,30,3,2,2,2,9,3
141,3,28,8,3,0,7,3,1
142,3,6,6,4,0,3,1,1
143,3,2,2,2,2,1,1,2
144,3,1,0,0,0,0,1,5
145,4,23,13,12,12,8,3,1
147,4,9,9,7,0,6,1,3
148,3,23,5,3,4,4,2,3
150,3,6,5,3,1,2,0,2
151,3,12,1,0,0,0,6,3
152,3,12,5,3,1,3,2,3
153,3,14,11,10,5,8,2,6
154,3,10,9,7,2,8,0,6
155,4,7,1,0,0,0,5,2
158,3,25,25,12,4,12,1,3
159,4,10,10,7,0,9,1,2
160,3,8,7,7,0,7,0,2
161,3,7,5,4,4,3,9,2
162,3,23,20,18,15,15,7,5
163,3,12,7,7,7,7,4,3
164,3,5,5,4,4,3,1,3
165,3,40,40,10,15,6,1,3
167,3,0,0,0,0,0,1,2
169,3,3,2,1,2,1,0,2
170,3,16,15,11,5,11,1,2
171,3,18,3,2,1,2,4,2
174,3,16,2,2,2,1,4,3
175,3,4,2,2,2,2,3,2
176,3,12,9,7,0,7,3,2
177,4,8,8,7,5,7,1,3
178,4,7,3,2,0,1,6,0
179,3,18,4,2,0,3,2,2
182,3,17,15,11,5,9,4,1
183,3,6,2,2,2,2,2,3
184,3,12,11,9,4,7,0,2
190,4,10,5,4,0,4,7,2
192,3,9,6,5,0,3,5,2
193,4,19,3,2,2,2,3,2
194,3,5,5,4,0,4,1,4
195,3,9,8,7,0,7,0,2
197,3,8,3,2,2,2,5,3
198,3,6,5,3,1,2,0,3
199,3,21,7,6,7,7,4,2
200,4,7,5,0,1,4,2,2
201,3,1,1,0,0,0,1,3
202,3,20,20,7,2,13,1,2
204,3,10,10,8,0,6,1,3
205,4,13,7,7,4,5,2,3
206,3,20,17,9,0,15,8,2
207,3,9,9,8,3,7,1,2
208,3,10,10,7,0,9,1,1
211,3,10,1,0,0,0,2,2
214,4,9,1,0,0,0,4,3
215,3,15,12,11,2,11,7,2
216,3,6,4,3,1,2,6,3
217,4,2,2,2,2,2,1,6
218,3,6,2,2,2,2,6,1
221,3,5,5,2,0,2,1,2
223,3,12,5,3,1,4,3,2
224,3,1,1,1,0,1,1,2
226,3,21,5,4,4,4,3,5
227,3,13,9,8,1,8,4,2
228,3,12,10,9,7,4,2,2
230,4,12,8,3,0,7,4,2
231,4,8,5,4,1,4,3,2
233,3,6,5,2,1,1,0,3
235,4,1,0,0,0,0,0,5
238,3,13,8,7,7,2,4,3
239,3,12,12,9,6,10,1,4
240,3,9,5,4,0,3,4,3
241,3,19,2,2,2,2,4,3
242,3,4,3,1,0,2,0,2
243,4,1,1,0,1,0,1,3
244,4,24,24,13,15,7,1,2
245,3,2,2,2,2,1,1,3
246,4,7,4,2,0,2,8,0
247,3,9,3,2,1,2,2,3
248,4,4,4,3,0,2,1,5
249,3,5,3,2,0,2,2,2
250,3,5,4,2,1,3,1,3
252,3,8,8,7,1,6,1,5
253,3,21,20,8,9,9,1,2
254,3,36,24,15,2,15,8,3
256,3,10,10,9,1,9,1,2
258,3,21,7,7,1,0,3,6
259,3,34,33,18,11,9,0,5
260,3,7,7,7,0,3,1,2
261,3,8,1,0,0,1,3,1
262,3,7,5,4,2,2,4,3
264,4,22,20,8,11,8,9,1
267,3,8,8,7,1,7,1,3
269,3,10,6,2,1,2,5,5
270,3,11,5,3,0,2,2,5
271,3,14,1,0,0,0,9,3
273,3,9,7,7,1,7,3,3
274,3,6,2,2,2,0,5,1
275,3,7,7,7,1,7,1,0
277,3,5,5,3,2,0,1,4
281,3,15,7,2,3,7,8,2
282,3,17,1,0,0,0,7,2
283,4,10,10,4,1,9,1,3
284,3,4,4,2,2,2,1,2
286,3,8,8,1,1,7,1,2
287,3,5,3,2,0,2,9,5
288,3,17,4,2,0,3,7,3
291,3,14,14,8,9,8,1,2
292,4,12,11,8,5,8,1,2
293,3,7,7,7,0,7,1,2
296,3,16,10,9,4,7,5,5
297,3,8,5,2,0,4,5,5
298,3,16,1,0,0,0,3,3
299,3,9,6,3,0,1,5,5
300,3,7,6,2,1,5,0,1
302,3,23,19,7,12,8,6,2
303,3,16,6,2,0,5,2,4
304,3,16,13,11,3,7,8,3
305,4,7,3,2,1,1,6,3
306,3,10,10,8,0,7,1,1
307,3,17,16,10,5,13,0,6
308,3,6,5,4,1,4,0,2
309,3,7,1,0,0,0,3,6
311,3,13,9,8,5,8,4,2
312,3,11,11,10,4,1,1,5
314,3,10,10,7,0,8,1,3
315,3,4,4,3,0,1,1,3
316,3,6,2,2,2,2,7,3
319,3,22,22,17,11,15,1,3
321,3,7,2,2,2,2,8,2
323,3,32,7,0,0,6,3,3
325,3,8,5,4,0,4,5,2
327,4,22,17,13,1,9,5,3
328,4,13,9,7,1,7,7,3
329,3,33,33,7,15,12,1,2
330,3,6,4,3,1,2,2,5
331,3,4,3,2,1,2,0,2
332,3,7,3,2,1,2,7,1
333,3,4,3,2,2,2,0,2
334,3,17,1,0,0,0,2,2
335,3,9,9,8,4,7,1,3
336,3,25,24,0,1,7,0,2
337,3,9,2,2,2,2,9,3
338,3,2,2,2,0,2,1,2
339,3,13,11,9,5,9,6,3
340,3,17,3,1,0,2,2,2
341,3,9,3,2,0,2,4,1
342,3,17,1,0,0,0,6,5
343,4,20,19,6,11,8,0,1
346,3,6,6,5,1,5,1,1
347,3,10,3,2,0,2,3,1
349,3,10,3,2,0,2,2,2
350,3,5,4,2,1,2,0,3
351,3,10,9,6,7,8,0,4
352,3,22,21,7,3,9,0,5
353,3,1,1,0,0,0,1,0
355,3,6,5,4,1,4,0,2
359,4,5,5,1,0,3,1,3
361,3,13,8,7,7,5,3,0
362,3,9,6,2,0,4,4,5
363,3,28,7,7,7,7,3,2
364,3,5,0,0,0,0,2,5
366,3,10,0,0,0,0,2,2
367,4,10,9,0,7,8,0,2
369,3,6,6,3,1,5,1,2
372,3,21,20,7,4,10,0,2
373,3,16,15,13,10,11,0,4
374,3,37,36,10,4,13,0,2
376,3,10,10,7,9,9,1,2
377,4,5,5,2,0,4,1,3
378,3,7,5,4,0,1,4,5
379,3,3,3,2,1,0,1,4
380,3,15,5,2,0,2,2,2
381,3,10,7,7,6,2,7,6
382,4,8,8,0,7,7,1,3
384,4,6,6,5,1,4,1,6
385,3,28,10,4,1,6,3,4
386,3,21,5,3,1,3,3,5
387,4,20,20,16,11,6,1,3
388,3,10,10,7,0,9,1,3
389,3,12,10,7,0,8,3,4
390,3,5,5,3,3,3,1,3
391,3,17,17,12,5,7,1,3
392,4,19,1,0,0,0,3,0
393,3,10,2,2,1,2,9,2
394,3,5,3,2,0,2,2,2
395,4,5,5,3,0,2,1,3
396,3,22,3,2,1,2,9,4
397,3,10,8,0,7,7,4,2
399,3,2,2,2,2,2,1,5
401,3,8,8,7,7,4,1,0
403,3,4,4,2,1,2,1,3
404,3,23,20,4,4,8,5,2
405,3,0,0,0,0,0,1,2
406,3,12,11,9,6,9,0,3
407,3,4,1,0,0,0,4,2
408,3,13,4,1,1,2,5,3
410,3,22,22,10,0,4,1,2
411,3,0,0,0,0,0,1,2
412,3,9,8,3,0,7,0,2
416,3,10,8,7,7,7,4,3
417,3,19,18,10,3,7,0,5
419,3,11,9,8,0,8,7,3
420,3,13,13,8,4,8,1,3
421,3,19,10,8,0,1,3,2
422,3,12,5,3,1,2,2,2
423,3,6,5,2,0,3,0,4
424,3,9,2,2,1,0,3,1
425,3,24,24,9,9,11,1,2
426,3,3,2,2,2,2,0,2
428,3,12,10,6,8,8,6,2
429,3,21,21,9,11,10,1,3
430,3,9,8,7,1,7,0,5
431,3,25,7,1,0,7,7,2
433,3,11,8,2,7,7,2,3
