EmployeeNumber,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,JobInvolvement,WorkLifeBalance
1,2,4,1,3,1
2,3,2,4,2,3
4,4,3,2,2,3
5,4,3,3,3,3
7,1,2,4,3,3
8,4,4,3,3,2
10,3,1,1,4,2
11,4,3,2,3,3
12,4,3,2,2,3
13,3,3,2,3,2
14,1,2,3,4,3
15,4,3,4,2,3
16,1,3,4,3,2
18,2,4,3,3,3
19,3,3,2,2,3
20,2,1,3,4,3
21,1,2,4,4,2
22,4,4,2,4,2
23,1,4,3,2,3
24,4,4,3,3,3
26,1,3,4,4,2
27,3,1,2,2,3
28,1,2,3,3,3
30,3,4,4,3,3
31,2,1,3,3,3
32,3,3,4,3,2
33,2,1,2,1,3
35,3,2,4,3,3
36,1,4,4,2,3
38,2,1,4,3,2
39,3,4,4,3,3
40,4,4,4,3,4
41,4,3,1,2,3
42,4,4,3,3,4
45,2,4,1,3,2
46,4,3,4,4,2
47,1,3,3,2,3
49,4,4,1,3,3
51,2,1,4,2,4
52,3,1,1,4,3
53,3,4,3,3,3
54,4,1,4,3,3
55,1,3,3,1,2
56,4,3,4,3,3
57,3,4,4,3,3
58,2,3,4,3,3
60,2,3,3,3,3
61,2,2,1,3,3
62,1,4,3,3,3
63,4,4,4,4,3
64,1,3,4,2,3
65,3,3,3,3,2
68,2,1,3,3,2
70,3,1,3,2,3
72,3,4,3,2,2
73,1,4,3,3,3
74,2,1,4,3,2
75,3,1,3,3,3
76,4,4,4,3,2
77,1,3,3,2,4
78,1,4,2,3,3
79,4,4,4,3,3
80,2,3,4,2,2
81,1,1,4,3,2
83,3,3,2,3,3
84,4,3,3,3,3
85,2,2,3,2,3
86,2,1,3,3,3
88,2,1,4,3,2
90,4,3,1,2,2
91,1,3,4,2,2
94,3,2,4,3,3
95,3,2,2,3,3
96,2,2,2,3,3
97,2,4,2,4,3
98,3,4,4,3,3
100,3,1,2,2,3
101,4,1,2,3,4
102,1,3,1,3,4
103,2,2,4,3,3
104,4,4,3,2,2
105,2,3,1,2,3
106,1,4,4,3,3
107,2,4,4,1,3
110,1,2,3,3,3
112,4,4,1,1,2
113,3,1,3,3,3
116,4,4,2,3,3
117,3,4,1,2,3
118,3,4,4,2,3
119,3,2,4,2,2
120,3,4,4,3,1
121,3,2,2,2,2
124,3,1,3,2,2
125,2,3,1,3,3
126,1,3,1,3,1
128,1,3,1,3,2
129,2,3,2,3,4
131,4,3,3,3,2
132,2,2,3,3,4
133,3,1,4,3,3
134,4,1,4,3,3
137,4,4,2,2,3
138,1,3,3,3,3
139,3,4,4,2,4
140,3,4,4,2,3
141,1,2,1,3,2
142,3,3,4,2,3
143,4,4,3,2,3
144,2,4,3,3,3
145,1,1,3,2,2
147,1,3,4,1,3
148,4,4,3,4,3
150,2,3,3,3,3
151,3,2,3,2,3
152,3,4,1,3,3
153,3,1,4,2,3
154,2,4,3,3,3
155,1,4,1,3,3
158,3,4,4,3,4
159,1,3,3,1,2
160,3,2,1,3,4
161,2,2,1,3,3
162,1,3,3,3,3
163,2,3,2,1,2
164,3,2,3,2,2
165,4,4,4,3,2
167,4,3,4,3,2
169,3,4,3,3,3
170,3,1,3,3,2
171,2,3,4,4,3
174,3,4,4,3,3
175,2,3,3,1,3
176,3,3,3,3,3
177,3,3,4,3,3
178,2,2,4,3,3
179,1,4,4,1,3
182,4,3,3,2,4
183,1,3,4,2,3
184,3,4,4,3,1
190,1,1,1,3,4
192,3,4,2,3,2
193,4,3,2,3,3
194,1,3,3,3,2
195,4,4,4,1,4
197,4,1,4,3,3
198,2,4,4,2,3
199,4,1,2,2,2
200,3,1,4,3,3
201,2,2,4,3,3
202,2,2,1,3,3
204,3,2,1,3,3
205,2,3,4,3,1
206,2,2,3,3,1
207,2,4,4,3,3
208,4,3,1,3,3
211,2,3,3,2,3
214,2,2,2,2,2
215,3,4,1,2,2
216,3,3,4,3,3
217,3,4,1,3,3
218,4,2,4,3,1
221,3,4,3,3,1
223,3,4,2,4,1
224,3,3,4,2,2
226,3,2,2,3,3
227,1,3,1,3,3
228,2,4,3,3,3
230,1,4,3,2,4
231,3,3,1,3,3
233,3,2,4,3,2
235,3,1,1,1,4
238,4,2,3,3,2
239,3,1,3,3,3
240,3,1,1,3,4
241,3,1,3,3,3
242,3,4,1,3,4
243,2,4,3,2,2
244,2,1,3,3,3
245,3,4,3,3,3
246,3,4,3,3,3
247,4,2,4,3,3
248,2,2,4,3,2
249,3,3,4,2,2
250,4,1,3,4,3
252,4,2,4,3,3
253,4,3,2,3,3
254,3,2,4,4,3
256,4,3,3,2,2
258,4,2,3,3,3
259,3,3,1,2,3
260,4,2,4,3,2
261,2,3,1,2,3
262,4,4,4,4,4
264,1,4,4,2,3
267,2,1,1,4,2
269,2,2,4,3,3
270,3,3,2,3,3
271,4,3,2,3,3
273,4,4,1,3,1
274,3,1,3,2,3
275,4,4,1,3,3
277,4,3,4,3,4
281,3,4,3,3,4
282,2,1,2,3,3
283,2,4,4,3,2
284,4,2,1,4,2
286,2,4,1,3,3
287,4,4,4,2,1
288,4,1,3,3,3
291,4,4,3,1,2
292,3,3,3,2,3
293,4,3,4,3,3
296,2,2,4,2,1
297,4,1,3,3,3
298,4,4,3,3,3
299,3,1,3,2,2
300,3,3,4,3,2
